time,label
50,4
100,4
150,4
200,4
250,4
300,4
350,4
400,4
450,4
500,4
550,4
600,4
650,4
700,4
750,4
800,4
850,4
900,4
950,4
1000,4
1050,4
1100,4
1150,4
1200,4
1250,4
1300,4
1350,4
1400,4
1450,4
1500,4
1550,4
1600,4
1650,4
1700,4
1750,4
1800,4
1850,4
1900,4
1950,4
2000,4
2050,4
2100,4
2150,4
2200,4
2250,4
2300,4
2350,4
2400,4
2450,4
2500,4
2550,4
2600,4
2650,4
2700,4
2750,4
2800,4
2850,4
2900,4
2950,4
3000,4
3050,4
3100,4
3150,4
3200,4
3250,4
3300,4
3350,4
3400,4
3450,4
3500,4
3550,4
3600,4
3650,4
3700,4
3750,4
3800,4
3850,4
3900,4
3950,4
4000,4
4050,4
4100,4
4150,4
4200,4
4250,4
4300,4
4350,4
4400,4
4450,4
4500,4
4550,4
4600,4
4650,4
4700,4
4750,4
4800,4
4850,4
4900,4
4950,4
5000,4
5050,4
5100,4
5150,4
5200,4
5250,4
5300,4
5350,4
5400,4
5450,4
5500,4
5550,4
5600,4
5650,4
5700,4
5750,4
5800,4
5850,4
5900,4
5950,4
6000,4
6050,4
6100,4
6150,4
6200,4
6250,4
6300,4
6350,4
6400,4
6450,4
6500,4
6550,4
6600,4
6650,4
6700,4
6750,4
6800,4
6850,4
6900,4
6950,4
7000,4
7050,4
7100,4
7150,4
7200,4
7250,4
7300,4
7350,4
7400,4
7450,4
7500,4
7550,4
7600,4
7650,4
7700,4
7750,4
7800,4
7850,4
7900,4
7950,4
8000,4
8050,4
8100,4
8150,4
8200,4
8250,4
8300,4
8350,4
8400,4
8450,4
8500,4
8550,4
8600,4
8650,4
8700,4
8750,4
8800,4
8850,4
8900,4
8950,4
9000,4
9050,4
9100,4
9150,4
9200,4
9250,4
9300,4
9350,4
9400,4
9450,4
9500,4
9550,4
9600,4
9650,4
9700,4
9750,4
9800,4
9850,4
9900,4
9950,4
10000,4
10050,4
10100,4
10150,4
10200,4
10250,4
10300,4
10350,4
10400,4
10450,4
10500,4
10550,4
10600,4
10650,4
10700,4
10750,4
10800,4
10850,4
10900,4
10950,4
11000,4
11050,4
11100,4
11150,4
11200,4
11250,4
11300,4
11350,4
11400,4
11450,4
11500,4
11550,4
11600,4
11650,4
11700,4
11750,4
11800,4
11850,4
11900,4
11950,4
12000,4
12050,4
12100,4
12150,4
12200,4
12250,4
12300,4
12350,4
12400,4
12450,4
12500,4
12550,4
12600,4
12650,4
12700,4
12750,4
14400,0
14450,0
14500,0
14550,0
14600,0
14650,0
14700,0
14750,0
14800,0
14850,0
14900,0
14950,0
15000,0
15050,0
15100,0
15150,0
15200,0
15250,0
15300,0
15350,0
15400,0
15450,0
15500,0
15550,0
15600,0
15650,0
15700,0
15750,0
15800,0
15850,0
15900,0
15950,0
16000,0
16050,0
16100,0
16150,0
16200,0
16250,0
16300,0
16350,0
16400,0
16450,0
16500,0
16550,0
16600,0
16650,0
16750,3
16800,3
16850,3
16900,3
16950,3
17000,3
17050,3
17100,3
17150,3
17200,3
17250,3
17300,3
17350,3
17400,3
17450,3
17500,3
17550,3
17600,3
17650,3
17700,3
17750,3
17800,3
17850,3
17900,3
17950,3
18000,3
18050,3
18100,3
18150,3
18200,3
18250,3
18300,3
18350,3
18400,3
18450,3
18500,3
18550,3
18600,3
18650,3
18700,3
18750,3
18800,3
18850,3
18900,3
18950,3
19000,3
19050,3
19100,3
19150,3
19200,3
19250,3
19300,3
19350,3
19400,3
19450,3
19500,3
19550,3
19600,3
19650,3
19700,3
19750,3
19800,3
19850,3
19900,3
19950,3
20000,3
20050,3
20100,3
20150,3
20200,3
20250,3
20300,3
20350,3
20400,3
20450,3
20500,3
20550,3
20600,3
20650,3
20700,3
20750,3
20800,3
20850,3
20900,3
20950,3
21000,3
21050,3
21100,3
21150,3
21200,3
21250,3
21300,3
21350,3
21400,3
21450,3
21500,3
21550,3
21600,3
21650,3
21700,3
21750,3
21800,3
21850,3
21900,3
21950,3
22000,3
22050,3
22100,3
22150,3
