time,label
50,4
100,4
150,4
200,4
250,4
300,4
350,4
400,4
450,4
500,4
550,4
600,4
650,4
700,4
750,4
800,4
850,4
900,4
950,4
1000,4
1050,4
1100,4
1150,4
1200,4
1250,4
1300,4
1650,0
1700,0
1750,0
1800,0
1850,0
1900,0
1950,0
2000,0
2050,1
2100,1
2150,1
2200,1
2250,1
2300,1
2350,1
2400,1
2450,1
2500,4
2550,4
2600,4
2650,4
2700,4
2750,4
2800,4
2850,4
2900,4
2950,4
3000,4
3050,4
3100,4
3150,4
3200,4
3250,4
3300,4
3350,4
3400,4
3450,4
3500,4
3550,0
3600,0
3650,0
3700,0
3750,0
3800,0
3850,0
3900,0
3950,0
4000,0
4050,0
4100,0
4150,0
4200,0
4250,3
4300,3
4350,3
4400,3
4450,3
4500,3
4550,3
4600,3
4650,3
4700,3
4750,3
4800,3
4850,3
4900,3
4950,3
5000,3
5050,3
5100,3
5150,3
5200,3
5250,3
5300,3
5350,3
5400,3
5450,3
5500,3
5550,3
5600,3
5650,3
5700,3
5750,3
5800,3
5850,3
5900,3
5950,3
6000,3
6050,3
6100,3
6150,3
6200,3
6250,3
6300,3
6350,3
6400,3
6450,3
6500,3
6550,3
6600,1
6650,1
6700,1
6750,4
6800,4
6850,4
6900,4
6950,4
7000,4
7050,4
7100,4
7150,4
7200,4
7500,4
7550,4
7600,4
7650,4
7700,4
7750,4
7800,4
7850,4
7900,4
7950,4
8000,4
8050,4
8100,4
8150,4
8200,4
8250,4
8300,4
8350,4
8400,4
8450,4
8500,4
8550,4
8600,4
8650,4
8700,4
8750,4
8800,4
8850,4
8900,4
8950,4
9000,4
9050,4
9100,4
9150,4
9200,4
9250,4
9300,4
9350,4
9400,4
9450,4
9500,4
9550,4
9600,4
9650,4
9700,4
9750,4
9800,4
9850,4
9900,4
9950,4
10000,4
10050,4
10100,4
10150,4
10200,4
10250,4
10300,4
10350,4
10400,4
10450,4
10500,4
10550,4
10600,4
10650,4
10700,4
10750,4
10800,4
10850,4
10900,4
10950,4
11000,4
11050,4
11900,4
11950,4
12000,4
12050,4
12100,4
12150,4
12200,4
12250,4
12300,4
12350,4
12400,4
12450,4
12500,4
12550,4
12600,4
12650,4
12700,4
12750,4
12800,4
12850,4
12900,4
12950,4
13000,0
13050,0
13100,0
13150,0
13200,0
13250,0
13300,0
13350,0
13400,0
13450,0
13500,0
13550,0
13600,0
13650,0
13700,0
13750,0
13800,0
13850,0
13900,0
13950,0
14000,0
14050,0
14100,0
14150,0
14200,0
14250,0
14300,1
14350,1
14400,1
14450,1
14500,1
14550,1
14600,1
14650,1
14700,1
14750,1
14800,4
14850,4
14900,4
14950,4
15000,4
15050,4
15100,4
15150,4
15200,4
15250,4
15300,4
15350,4
15400,4
15450,4
15500,4
15550,4
16900,0
16950,0
17000,0
17050,0
17100,0
17150,0
17200,0
17250,0
17300,0
17350,0
17400,0
17450,0
17500,0
17550,0
17600,0
17650,0
17700,0
17750,0
17800,0
17850,0
17900,0
17950,0
18000,0
18050,0
18100,0
18150,0
18200,0
18250,0
18300,0
18350,0
18400,0
18450,0
18500,0
18550,0
18600,0
18650,0
18700,0
18750,0
18800,0
18850,0
18900,0
18950,4
19000,4
19050,4
19100,4
19150,4
19200,4
19250,4
19300,4
19350,4
19400,4
19450,4
19500,4
19550,4
19600,4
19650,4
19700,4
19750,4
19800,4
19850,4
19900,4
19950,4
20000,4
20050,4
20100,4
20150,4
20200,4
20250,4
20300,4
20350,4
20400,4
20450,4
20500,4
20550,4
20600,4
20650,4
20700,4
20750,4
20800,4
20850,4
20900,4
20950,4
21000,4
21050,4
21100,4
21150,4
21200,4
21250,4
21300,4
21350,4
21400,4
21450,4
21500,4
21550,4
21600,4
21650,4
21700,4
21750,4
21800,4
21850,4
21900,4
21950,4
22000,4
22050,4
22100,4
22150,4
22200,4
22250,4
22300,4
22350,4
22400,4
22450,4
22500,4
22550,4
22600,4
22650,4
22700,4
22750,4
22800,4
22850,4
22900,4
22950,4
23000,4
23050,4
23100,4
23150,4
